Index,site_id,creek_name,unit,date,day_temp_c
1,CGT1,Claggett Creek,C,5/1/2018,15.009895833333333
1,CGT1,Claggett Creek,C,5/2/2018,15.796458333333334
1,CGT1,Claggett Creek,C,5/3/2018,17.692916666666665
1,CGT1,Claggett Creek,C,5/4/2018,17.6134375
1,CGT1,Claggett Creek,C,5/5/2018,17.983229166666668
1,CGT1,Claggett Creek,C,5/6/2018,19.176979166666666
1,CGT1,Claggett Creek,C,5/7/2018,18.910520833333333
2,CGT1,Claggett Creek,C,5/8/2018,19.2740625
2,CGT1,Claggett Creek,C,5/9/2018,18.845208333333332
2,CGT1,Claggett Creek,C,5/10/2018,18.8365625
2,CGT1,Claggett Creek,C,5/11/2018,18.55625
2,CGT1,Claggett Creek,C,5/12/2018,19.212291666666665
2,CGT1,Claggett Creek,C,5/13/2018,20.510416666666668
2,CGT1,Claggett Creek,C,5/14/2018,21.251041666666666
3,CGT1,Claggett Creek,C,5/15/2018,20.677291666666665
3,CGT1,Claggett Creek,C,5/16/2018,19.9265625
3,CGT1,Claggett Creek,C,5/17/2018,19.028958333333332
3,CGT1,Claggett Creek,C,5/18/2018,18.773125
3,CGT1,Claggett Creek,C,5/19/2018,18.665937500000002
3,CGT1,Claggett Creek,C,5/20/2018,18.8203125
3,CGT1,Claggett Creek,C,5/21/2018,19.477708333333332
4,CGT1,Claggett Creek,C,5/22/2018,20.693958333333335
4,CGT1,Claggett Creek,C,5/23/2018,21.537708333333335
4,CGT1,Claggett Creek,C,5/24/2018,21.1865625
4,CGT1,Claggett Creek,C,5/25/2018,20.644479166666667
4,CGT1,Claggett Creek,C,5/26/2018,19.625
4,CGT1,Claggett Creek,C,5/27/2018,19.959375
4,CGT1,Claggett Creek,C,5/28/2018,20.474583333333335
5,CGT1,Claggett Creek,C,5/29/2018,19.818125
5,CGT1,Claggett Creek,C,5/30/2018,18.915416666666665
5,CGT1,Claggett Creek,C,5/31/2018,18.504895833333332
5,CGT1,Claggett Creek,C,6/1/2018,19.100520833333334
5,CGT1,Claggett Creek,C,6/2/2018,20.278333333333332
5,CGT1,Claggett Creek,C,6/3/2018,20.4134375
5,CGT1,Claggett Creek,C,6/4/2018,20.0446875
6,CGT1,Claggett Creek,C,6/5/2018,20.162395833333335
6,CGT1,Claggett Creek,C,6/6/2018,20.667604166666667
6,CGT1,Claggett Creek,C,6/7/2018,20.633125
6,CGT1,Claggett Creek,C,6/8/2018,19.808854166666666
6,CGT1,Claggett Creek,C,6/9/2018,18.498854166666668
6,CGT1,Claggett Creek,C,6/10/2018,17.4690625
6,CGT1,Claggett Creek,C,6/11/2018,17.6478125
7,CGT1,Claggett Creek,C,6/12/2018,19.727916666666665
7,CGT1,Claggett Creek,C,6/13/2018,19.311458333333334
7,CGT1,Claggett Creek,C,6/14/2018,18.869895833333334
7,CGT1,Claggett Creek,C,6/15/2018,19.03708333333333
7,CGT1,Claggett Creek,C,6/16/2018,19.463229166666668
7,CGT1,Claggett Creek,C,6/17/2018,20.5703125
7,CGT1,Claggett Creek,C,6/18/2018,21.851041666666667
8,CGT1,Claggett Creek,C,6/19/2018,22.249583333333334
8,CGT1,Claggett Creek,C,6/20/2018,22.895520833333332
8,CGT1,Claggett Creek,C,6/21/2018,22.535520833333333
8,CGT1,Claggett Creek,C,6/22/2018,22.074583333333333
8,CGT1,Claggett Creek,C,6/23/2018,22.029270833333335
8,CGT1,Claggett Creek,C,6/24/2018,22.415729166666665
