Date,coredata.weekly_CGT1.,start_date
2018-05-06,17.212152777777778,2018-04-30
2018-05-13,19.16361607142857,2018-05-07
2018-05-20,19.59188988095238,2018-05-14
2018-05-27,20.44639880952381,2018-05-21
2018-06-03,19.64361607142857,2018-05-28
2018-06-10,19.612083333333334,2018-06-04
2018-06-17,19.23252976190476,2018-06-11
2018-06-24,22.293035714285715,2018-06-18
2018-07-01,22.075535714285714,2018-06-25
2018-07-08,21.60919642857143,2018-07-02
2018-07-15,22.31565476190476,2018-07-09
2018-07-22,23.054479166666667,2018-07-16
2018-07-29,23.824925595238096,2018-07-23
2018-08-05,23.6371875,2018-07-30
2018-08-12,23.54375,2018-08-06
2018-08-19,22.3715625,2018-08-13
2018-08-26,21.930922619047617,2018-08-20
2018-09-02,20.447693452380953,2018-08-27
2018-09-09,20.667901785714285,2018-09-03
2018-09-16,18.880863095238094,2018-09-10
2018-09-23,17.92738095238095,2018-09-17
2018-09-30,17.79168154761905,2018-09-24
2018-10-01,18.3075,2018-09-25
2019-05-05,17.4559375,2019-04-29
2019-05-12,20.38422619047619,2019-05-06
2019-05-19,17.751309523809525,2019-05-13
2019-05-26,17.283675595238094,2019-05-20
2019-06-02,20.05952380952381,2019-05-27
2019-06-09,19.904895833333335,2019-06-03
2019-06-16,22.735104166666666,2019-06-10
2019-06-23,21.75497023809524,2019-06-17
2019-06-30,20.693526785714287,2019-06-24
2019-07-07,21.52465773809524,2019-07-01
2019-07-14,22.425401785714286,2019-07-08
2019-07-21,22.899866071428573,2019-07-15
2019-07-28,23.087633928571428,2019-07-22
2019-08-04,23.51639880952381,2019-07-29
2019-08-11,22.646205357142858,2019-08-05
2019-08-18,22.68470238095238,2019-08-12
2019-08-25,22.044181547619047,2019-08-19
2019-09-01,22.233229166666668,2019-08-26
2019-09-08,22.234494047619048,2019-09-02
2019-09-15,19.865758928571427,2019-09-09
2019-09-22,18.134181547619047,2019-09-16
2019-09-29,17.94684523809524,2019-09-23
2019-10-06,14.436532738095238,2019-09-30
2019-10-11,14.17945274390244,2019-10-05
