Date,coredata.weekly_CRO1.,start_date
2018-05-06,12.273802083333333,2018-04-30
2018-05-13,13.302946428571428,2018-05-07
2018-05-20,13.792127976190477,2018-05-14
2018-05-27,14.434196428571429,2018-05-21
2018-06-03,13.75419642857143,2018-05-28
2018-06-10,13.946845238095237,2018-06-04
2018-06-17,14.328184523809524,2018-06-11
2018-06-24,17.473690476190477,2018-06-18
2018-07-01,16.83561011904762,2018-06-25
2018-07-08,16.838690476190475,2018-07-02
2018-07-15,18.77452380952381,2018-07-09
2018-07-22,19.075297619047618,2018-07-16
2018-07-29,20.108154761904764,2018-07-23
2018-08-05,19.42217261904762,2018-07-30
2018-08-12,20.120223214285716,2018-08-06
2018-08-19,19.06154761904762,2018-08-13
2018-08-26,17.71532738095238,2018-08-20
2018-09-02,17.244970238095238,2018-08-27
2018-09-09,16.694434523809523,2018-09-03
2018-09-16,15.115818452380953,2018-09-10
2018-09-23,13.993407738095238,2018-09-17
2018-09-30,13.962991071428572,2018-09-24
2018-10-01,15.3521875,2018-09-25
2019-05-05,11.680520394736842,2019-04-29
2019-05-12,14.006428571428572,2019-05-06
2019-05-19,12.896904761904763,2019-05-13
2019-05-26,12.95748511904762,2019-05-20
2019-06-02,14.72595238095238,2019-05-27
2019-06-09,13.973199404761905,2019-06-03
2019-06-16,17.24782738095238,2019-06-10
2019-06-23,15.92720238095238,2019-06-17
2019-06-30,15.499017857142857,2019-06-24
2019-07-07,16.417738095238093,2019-07-01
2019-07-14,17.79825892857143,2019-07-08
2019-07-21,17.852157738095237,2019-07-15
2019-07-28,18.301041666666666,2019-07-22
2019-08-04,18.95236607142857,2019-07-29
2019-08-11,18.610848214285713,2019-08-05
2019-08-18,18.390982142857144,2019-08-12
2019-08-25,17.75190476190476,2019-08-19
2019-09-01,18.517708333333335,2019-08-26
2019-09-08,18.620654761904763,2019-09-02
2019-09-15,16.88061011904762,2019-09-09
2019-09-22,15.455416666666666,2019-09-16
2019-09-29,14.263214285714286,2019-09-23
2019-10-06,10.758020833333333,2019-09-30
2019-10-11,9.886408220720721,2019-10-05
2021-05-02,13.749027777777778,2021-04-26
2021-05-09,12.690238095238096,2021-05-03
2021-05-16,14.618050595238095,2021-05-10
2021-05-23,12.622693452380952,2021-05-17
2021-05-30,13.979910714285714,2021-05-24
2021-06-06,16.75583333333333,2021-05-31
2021-06-13,14.011979166666666,2021-06-07
2021-06-20,15.987678571428571,2021-06-14
2021-06-27,19.28358630952381,2021-06-21
2021-07-04,19.866845238095237,2021-06-28
2021-07-11,18.54736607142857,2021-07-05
2021-07-18,18.4259375,2021-07-12
2021-07-25,18.295357142857142,2021-07-19
2021-08-01,20.040818452380954,2021-07-26
2021-08-08,19.863794642857144,2021-08-02
2021-08-15,20.506294642857142,2021-08-09
2021-08-22,17.984285714285715,2021-08-16
2021-08-29,16.347931547619048,2021-08-23
2021-09-05,15.708392857142856,2021-08-30
2021-09-12,16.90620535714286,2021-09-06
2021-09-19,15.017782738095239,2021-09-13
2021-09-26,15.07799107142857,2021-09-20
2021-10-02,14.214116823476703,2021-09-26
2022-05-01,11.395072916666667,2022-04-25
2022-05-08,11.043349702380953,2022-05-02
2022-05-15,10.818291666666667,2022-05-09
2022-05-22,11.609254464285714,2022-05-16
2022-05-29,13.141659226190477,2022-05-23
2022-06-05,13.799681547619048,2022-05-30
2022-06-12,13.81433630952381,2022-06-06
2022-06-19,12.928145833333334,2022-06-13
2022-06-26,15.159550595238095,2022-06-20
2022-07-03,15.967174107142858,2022-06-27
2022-07-10,16.433956845238097,2022-07-04
2022-07-17,17.497260416666666,2022-07-11
2022-07-24,17.378866071428572,2022-07-18
2022-07-31,20.04345982142857,2022-07-25
2022-08-07,18.463483630952382,2022-08-01
2022-08-14,17.826520833333333,2022-08-08
2022-08-21,18.791668154761904,2022-08-15
2022-08-28,18.519750000000002,2022-08-22
2022-09-04,17.794659226190475,2022-08-29
2022-09-11,16.394363095238095,2022-09-05
2022-09-18,16.398108630952382,2022-09-12
2022-09-25,15.185936011904762,2022-09-19
2022-10-02,15.295327380952381,2022-09-26
2022-10-04,15.237589912280702,2022-09-28
