Date,coredata.weekly_GIB1.,start_date
2018-05-06,13.218576388888888,2018-04-30
2018-05-13,14.620505952380952,2018-05-07
2018-05-20,14.943214285714285,2018-05-14
2018-05-27,15.435848214285715,2018-05-21
2018-06-03,14.62483630952381,2018-05-28
2018-06-10,14.899732142857143,2018-06-04
2018-06-17,14.937008928571428,2018-06-11
2018-06-24,17.407217261904762,2018-06-18
2018-07-01,16.574717261904762,2018-06-25
2018-07-08,16.465208333333333,2018-07-02
2018-07-15,17.846473214285712,2018-07-09
2018-07-22,17.76434523809524,2018-07-16
2018-07-29,18.530044642857142,2018-07-23
2018-08-05,17.92626488095238,2018-07-30
2018-08-12,18.436577380952382,2018-08-06
2018-08-19,17.495639880952382,2018-08-13
2018-08-26,16.58620535714286,2018-08-20
2018-09-02,16.094151785714285,2018-08-27
2018-09-09,15.476443452380952,2018-09-03
2018-09-16,15.017127976190476,2018-09-10
2018-09-23,13.742127976190476,2018-09-17
2018-09-30,13.477261904761905,2018-09-24
2018-10-01,14.696354166666666,2018-09-25
2019-05-05,12.689236403508772,2019-04-29
2019-05-12,14.914419642857142,2019-05-06
2019-05-19,13.829598214285713,2019-05-13
2019-05-26,13.990029761904761,2019-05-20
2019-06-02,15.4365625,2019-05-27
2019-06-09,15.022499999999999,2019-06-03
2019-06-16,17.558392857142856,2019-06-10
2019-06-23,16.158065476190476,2019-06-17
2019-06-30,15.760491071428572,2019-06-24
2019-07-07,16.57172619047619,2019-07-01
2019-07-14,17.62233630952381,2019-07-08
2019-07-21,17.50299107142857,2019-07-15
2019-07-28,17.573020833333334,2019-07-22
2019-08-04,17.87482142857143,2019-07-29
2019-08-11,17.80017857142857,2019-08-05
2019-08-18,17.62011904761905,2019-08-12
2019-08-25,17.02561011904762,2019-08-19
2019-09-01,17.702544642857145,2019-08-26
2019-09-08,17.656949404761903,2019-09-02
2019-09-15,16.875877976190477,2019-09-09
2019-09-22,15.755104166666667,2019-09-16
2019-09-29,14.537157738095239,2019-09-23
2019-10-06,11.368943452380952,2019-09-30
2019-10-11,10.55671794871795,2019-10-05
2021-05-02,14.226215277777778,2021-04-26
2021-05-09,13.362083333333333,2021-05-03
2021-05-16,14.859092261904761,2021-05-10
2021-05-23,13.333824404761904,2021-05-17
2021-05-30,14.354687499999999,2021-05-24
2021-06-06,16.894077380952382,2021-05-31
2021-06-13,14.43671130952381,2021-06-07
2021-06-20,16.336041666666667,2021-06-14
2021-06-27,19.08269345238095,2021-06-21
2021-07-04,19.65358630952381,2021-06-28
2021-07-11,18.113244047619048,2021-07-05
2021-07-18,17.68403273809524,2021-07-12
2021-07-25,17.474285714285713,2021-07-19
2021-08-01,18.95217261904762,2021-07-26
2021-08-08,18.871994047619047,2021-08-02
2021-08-15,19.367559523809526,2021-08-09
2021-08-22,17.387752976190477,2021-08-16
2021-08-29,16.042023809523812,2021-08-23
2021-09-05,15.497797619047619,2021-08-30
2021-09-12,16.464404761904763,2021-09-06
2021-09-19,15.04703869047619,2021-09-13
2021-09-26,15.084687500000001,2021-09-20
2021-10-02,14.623350694444444,2021-09-26
2022-05-01,11.7873125,2022-04-25
2022-05-08,11.56689880952381,2022-05-02
2022-05-15,11.326559523809523,2022-05-09
2022-05-22,12.452403273809523,2022-05-16
2022-05-29,14.036017857142857,2022-05-23
2022-06-05,14.648005952380952,2022-05-30
2022-06-12,14.677172619047619,2022-06-06
2022-06-19,13.572875,2022-06-13
2022-06-26,16.191074404761906,2022-06-20
2022-07-03,17.26438392857143,2022-06-27
2022-07-10,17.242973214285715,2022-07-04
2022-07-17,18.00993898809524,2022-07-11
2022-07-24,17.820302083333335,2022-07-18
2022-07-31,19.94916369047619,2022-07-25
2022-08-07,18.51340625,2022-08-01
2022-08-14,17.660447916666666,2022-08-08
2022-08-21,18.21797619047619,2022-08-15
2022-08-28,17.966199404761905,2022-08-22
2022-09-04,17.18942261904762,2022-08-29
2022-09-11,16.138494047619048,2022-09-05
2022-09-18,16.066514880952383,2022-09-12
2022-09-25,14.825230654761905,2022-09-19
2022-10-02,15.097949404761904,2022-09-26
2022-10-04,14.598196546052632,2022-09-28
