Date,coredata.weekly_MRA1.,start_date
2018-05-06,14.068246527777777,2018-04-30
2018-05-13,15.407842261904761,2018-05-07
2018-05-20,15.730342261904763,2018-05-14
2018-05-27,16.77638392857143,2018-05-21
2018-06-03,15.89328869047619,2018-05-28
2018-06-10,16.124404761904763,2018-06-04
2018-06-17,16.28904761904762,2018-06-11
2018-06-24,19.60046130952381,2018-06-18
2018-07-01,19.179017857142856,2018-06-25
2018-07-08,19.166071428571428,2018-07-02
2018-07-15,21.006309523809524,2018-07-09
2018-07-22,21.093095238095238,2018-07-16
2018-07-29,22.350104166666668,2018-07-23
2018-08-05,21.163229166666667,2018-07-30
2018-08-12,21.655520833333334,2018-08-06
2018-08-19,20.221473214285716,2018-08-13
2018-08-26,18.647380952380953,2018-08-20
2018-09-02,17.98766369047619,2018-08-27
2018-09-09,17.082708333333333,2018-09-03
2018-09-16,14.94169642857143,2018-09-10
2018-09-23,14.5565625,2018-09-17
2018-09-30,14.975654761904762,2018-09-24
2018-10-01,15.625208333333333,2018-09-25
2019-05-05,14.36646558988764,2019-04-29
2019-05-12,16.995386904761904,2019-05-06
2019-05-19,13.889449404761905,2019-05-13
2019-05-26,14.359925595238096,2019-05-20
2019-06-02,16.86090773809524,2019-05-27
2019-06-09,16.843690476190478,2019-06-03
2019-06-16,20.694136904761905,2019-06-10
2019-06-23,18.520104166666666,2019-06-17
2019-06-30,17.9115625,2019-06-24
2019-07-07,18.61645833333333,2019-07-01
2019-07-14,19.972127976190475,2019-07-08
2019-07-21,20.073839285714286,2019-07-15
2019-07-28,20.883675595238095,2019-07-22
2019-08-04,20.975342261904764,2019-07-29
2019-08-11,19.850595238095238,2019-08-05
2019-08-18,19.833675595238095,2019-08-12
2019-08-25,18.896636904761905,2019-08-19
2019-09-01,19.645610119047618,2019-08-26
2019-09-08,18.37684523809524,2019-09-02
2019-09-15,16.334955357142857,2019-09-09
2019-09-22,15.513973214285715,2019-09-16
2019-09-29,14.775892857142857,2019-09-23
2019-10-06,11.762678571428571,2019-09-30
2019-10-11,11.461520833333333,2019-10-05
2022-05-01,13.56378125,2022-04-25
2022-05-08,12.484974702380953,2022-05-02
2022-05-15,12.098904761904762,2022-05-09
2022-05-22,13.851709821428571,2022-05-16
2022-05-29,16.058845238095238,2022-05-23
2022-06-05,16.44121279761905,2022-05-30
2022-06-12,15.922339285714285,2022-06-06
2022-06-19,14.551090773809523,2022-06-13
2022-06-26,18.737191964285714,2022-06-20
2022-07-03,20.00466369047619,2022-06-27
2022-07-10,19.92706101190476,2022-07-04
2022-07-17,21.26802232142857,2022-07-11
2022-07-24,20.968635416666668,2022-07-18
2022-07-31,23.931761904761906,2022-07-25
2022-08-07,21.892982142857143,2022-08-01
2022-08-14,20.63801488095238,2022-08-08
2022-08-21,21.31278869047619,2022-08-15
2022-08-28,20.986936011904763,2022-08-22
2022-09-04,20.197075892857143,2022-08-29
2022-09-11,18.186093749999998,2022-09-05
2022-09-18,16.911861607142857,2022-09-12
2022-09-25,16.153550595238094,2022-09-19
2022-10-02,16.04347023809524,2022-09-26
2022-10-04,15.865384046052633,2022-09-28
