Date,coredata.weekly_SHE10.,start_date
2018-05-06,13.487451774774305,2018-04-30
2018-05-13,14.985416666785714,2018-05-07
2018-05-20,15.392220568824404,2018-05-14
2018-05-27,16.44985945779762,2018-05-21
2018-06-03,15.579836309434524,2018-05-28
2018-06-10,15.748090277544643,2018-06-04
2018-06-17,15.83110945747024,2018-06-11
2018-06-24,18.847916666726192,2018-06-18
2018-07-01,18.894386574151785,2018-06-25
2018-07-08,18.77933201063988,2018-07-02
2018-07-15,20.496775793675596,2018-07-09
2018-07-22,20.6765707671875,2018-07-16
2018-07-29,21.96560019846726,2018-07-23
2018-08-05,20.918733465461308,2018-07-30
2018-08-12,21.333597883482142,2018-08-06
2018-08-19,19.87927413998512,2018-08-13
2018-08-26,18.374090608511903,2018-08-20
2018-09-02,17.70138888903274,2018-08-27
2018-09-09,16.601719576532737,2018-09-03
2018-09-16,14.581655092886905,2018-09-10
2018-09-23,14.282366071547619,2018-09-17
2018-09-30,14.692030423556547,2018-09-24
2018-10-01,15.317881944166666,2018-09-25
2019-05-05,14.04275,2019-04-29
2019-05-12,16.437157738095237,2019-05-06
2019-05-19,13.498482142857142,2019-05-13
2019-05-26,13.926398809523809,2019-05-20
2019-06-02,16.472544642857144,2019-05-27
2019-06-09,16.392544642857143,2019-06-03
2019-06-16,20.275119047619047,2019-06-10
2019-06-23,18.145104166666666,2019-06-17
2019-06-30,17.65325892857143,2019-06-24
2019-07-07,18.254151785714285,2019-07-01
2019-07-14,19.621309523809526,2019-07-08
2019-07-21,19.659017857142857,2019-07-15
2019-07-28,20.58784226190476,2019-07-22
2019-08-04,20.695967261904762,2019-07-29
2019-08-11,19.446785714285713,2019-08-05
2019-08-18,19.53516369047619,2019-08-12
2019-08-25,18.606502976190477,2019-08-19
2019-09-01,19.2875,2019-08-26
2019-09-08,17.67238095238095,2019-09-02
2019-09-15,15.788348214285714,2019-09-09
2019-09-22,15.160729166666666,2019-09-16
2019-09-29,14.508184523809524,2019-09-23
2019-10-06,11.669375,2019-09-30
2019-10-11,11.30666287878788,2019-10-05
2021-05-02,15.447743055555556,2021-04-26
2021-05-09,15.09514880952381,2021-05-03
2021-05-16,17.745089285714286,2021-05-10
2021-05-23,14.933377976190476,2021-05-17
2021-05-30,16.07075892857143,2021-05-24
2021-06-06,20.372574404761906,2021-05-31
2021-06-13,16.113467261904763,2021-06-07
2021-06-20,18.734285714285715,2021-06-14
2021-06-27,23.30247023809524,2021-06-21
2021-07-04,22.925074404761904,2021-06-28
2021-07-11,21.567559523809525,2021-07-05
2021-07-18,20.949851190476192,2021-07-12
2021-07-25,20.336666666666666,2021-07-19
2021-08-01,21.342544642857142,2021-07-26
2021-08-08,21.014419642857142,2021-08-02
2021-08-15,21.469717261904762,2021-08-09
2021-08-22,18.271026785714284,2021-08-16
2021-08-29,17.363809523809525,2021-08-23
2021-09-05,16.883363095238096,2021-08-30
2021-09-12,17.53982142857143,2021-09-06
2021-09-19,15.813258928571429,2021-09-13
2021-09-26,16.101458333333333,2021-09-20
2021-10-02,14.714148185483872,2021-09-26
