Index,site_id,creek_name,unit,week_temp_c,start_week,end_week
1,CGT1,Claggett Creek,C,17.454776785714284,5/1/2018,5/7/2018
1,CGT5,Claggett Creek,C,15.06904761904762,5/1/2018,5/7/2018
1,CRO1,Croisan Creek,C,12.421949404761904,5/1/2018,5/7/2018
1,CRO10,Croisan Creek,C,11.89047619047619,5/1/2018,5/7/2018
1,GIB1,Gibson Creek,C,13.405476190476191,5/1/2018,5/7/2018
1,GIB15,Gibson Creek,C,13.25625,5/1/2018,5/7/2018
1,MRA1,Mill Race,C,14.33078869047619,5/1/2018,5/7/2018
1,MRA10,Mill Race,C,13.858065476190475,5/1/2018,5/7/2018
1,SHE1,Shelton Ditch,C,13.77251488095238,5/1/2018,5/7/2018
1,SHE10,Shelton Ditch,C,13.722643849434524,5/1/2018,5/7/2018
1,WAL3,Waln Creek,C,12.695535714285715,5/1/2018,5/7/2018
2,CGT1,Claggett Creek,C,19.49797619047619,5/10/2018,5/9/2018
2,CGT5,Claggett Creek,C,16.25761904761905,5/10/2018,5/9/2018
2,CRO1,Croisan Creek,C,13.560818452380952,5/10/2018,5/9/2018
2,CRO10,Croisan Creek,C,12.813645833333332,5/10/2018,5/9/2018
2,GIB1,Gibson Creek,C,14.881264880952381,5/10/2018,5/9/2018
2,GIB15,Gibson Creek,C,15.015208333333334,5/10/2018,5/9/2018
2,MRA1,Mill Race,C,15.669702380952382,5/10/2018,5/9/2018
2,MRA10,Mill Race,C,15.507931547619046,5/10/2018,5/9/2018
2,SHE1,Shelton Ditch,C,15.341130952380952,5/10/2018,5/9/2018
2,SHE10,Shelton Ditch,C,15.317080026636905,5/10/2018,5/9/2018
2,WAL3,Waln Creek,C,13.660863095238096,5/10/2018,5/9/2018
3,CGT1,Claggett Creek,C,19.338556547619046,5/15/2018,5/21/2018
3,CGT5,Claggett Creek,C,15.530238095238095,5/15/2018,5/21/2018
3,CRO1,Croisan Creek,C,13.593065476190477,5/15/2018,5/21/2018
3,CRO10,Croisan Creek,C,12.85561011904762,5/15/2018,5/21/2018
3,GIB1,Gibson Creek,C,14.681473214285715,5/15/2018,5/21/2018
3,GIB15,Gibson Creek,C,14.83514880952381,5/15/2018,5/21/2018
3,MRA1,Mill Race,C,15.410863095238096,5/15/2018,5/21/2018
3,MRA10,Mill Race,C,15.261443452380952,5/15/2018,5/21/2018
3,SHE1,Shelton Ditch,C,15.13345238095238,5/15/2018,5/21/2018
3,SHE10,Shelton Ditch,C,15.070477843883928,5/15/2018,5/21/2018
3,WAL3,Waln Creek,C,13.49313988095238,5/15/2018,5/21/2018
4,CGT1,Claggett Creek,C,20.588809523809523,5/22/2018,5/28/2018
4,CGT5,Claggett Creek,C,16.450491071428573,5/22/2018,5/28/2018
4,CRO1,Croisan Creek,C,14.584553571428572,5/22/2018,5/28/2018
4,CRO10,Croisan Creek,C,13.626666666666667,5/22/2018,5/28/2018
4,GIB1,Gibson Creek,C,15.581458333333334,5/22/2018,5/28/2018
4,GIB15,Gibson Creek,C,16.06077380952381,5/22/2018,5/28/2018
4,MRA1,Mill Race,C,16.993928571428572,5/22/2018,5/28/2018
4,MRA10,Mill Race,C,16.885267857142857,5/22/2018,5/28/2018
4,SHE1,Shelton Ditch,C,16.581934523809522,5/22/2018,5/28/2018
4,SHE10,Shelton Ditch,C,16.67066798955357,5/22/2018,5/28/2018
4,WAL3,Waln Creek,C,14.574613095238096,5/22/2018,5/28/2018
5,CGT1,Claggett Creek,C,19.58220238095238,5/29/2018,6/4/2018
5,CGT5,Claggett Creek,C,14.997723214285717,5/29/2018,6/4/2018
5,CRO1,Croisan Creek,C,13.673571428571428,5/29/2018,6/4/2018
5,CRO10,Croisan Creek,C,12.964791666666667,5/29/2018,6/4/2018
5,GIB1,Gibson Creek,C,14.537544642857142,5/29/2018,6/4/2018
5,GIB15,Gibson Creek,C,15.054032738095238,5/29/2018,6/4/2018
5,MRA1,Mill Race,C,15.791681547619048,5/29/2018,6/4/2018
5,MRA10,Mill Race,C,15.69705357142857,5/29/2018,6/4/2018
5,SHE1,Shelton Ditch,C,15.497544642857143,5/29/2018,6/4/2018
5,SHE10,Shelton Ditch,C,15.473420966488096,5/29/2018,6/4/2018
5,WAL3,Waln Creek,C,13.685907738095239,5/29/2018,6/4/2018
6,CGT1,Claggett Creek,C,19.26967261904762,6/10/2018,6/9/2018
6,CGT5,Claggett Creek,C,15.531934523809523,6/10/2018,6/9/2018
6,CRO1,Croisan Creek,C,13.895833333333334,6/10/2018,6/9/2018
6,CRO10,Croisan Creek,C,13.143571428571429,6/10/2018,6/9/2018
6,GIB1,Gibson Creek,C,14.818556547619048,6/10/2018,6/9/2018
6,GIB15,Gibson Creek,C,15.197276785714285,6/10/2018,6/9/2018
6,MRA1,Mill Race,C,15.967306547619048,6/10/2018,6/9/2018
6,MRA10,Mill Race,C,15.723869047619047,6/10/2018,6/9/2018
6,SHE1,Shelton Ditch,C,15.576398809523809,6/10/2018,6/9/2018
6,SHE10,Shelton Ditch,C,15.520320766651786,6/10/2018,6/9/2018
6,WAL3,Waln Creek,C,14.120282738095238,6/10/2018,6/9/2018
7,CGT1,Claggett Creek,C,19.832991071428573,6/12/2018,6/18/2018
7,CGT5,Claggett Creek,C,16.50627976190476,6/12/2018,6/18/2018
7,CRO1,Croisan Creek,C,14.824375,6/12/2018,6/18/2018
7,CRO10,Croisan Creek,C,13.816473214285715,6/12/2018,6/18/2018
7,GIB1,Gibson Creek,C,15.358110119047618,6/12/2018,6/18/2018
7,GIB15,Gibson Creek,C,15.994434523809524,6/12/2018,6/18/2018
7,MRA1,Mill Race,C,16.905773809523808,6/12/2018,6/18/2018
7,MRA10,Mill Race,C,16.67325892857143,6/12/2018,6/18/2018
7,SHE1,Shelton Ditch,C,16.4978125,6/12/2018,6/18/2018
7,SHE10,Shelton Ditch,C,16.49398148123512,6/12/2018,6/18/2018
7,WAL3,Waln Creek,C,14.615372023809524,6/12/2018,6/18/2018
8,CGT1,Claggett Creek,C,22.399002976190477,6/19/2018,6/25/2018
8,CGT5,Claggett Creek,C,18.147470238095238,6/19/2018,6/25/2018
8,CRO1,Croisan Creek,C,17.44029761904762,6/19/2018,6/25/2018
8,CRO10,Croisan Creek,C,16.10453869047619,6/19/2018,6/25/2018
8,GIB1,Gibson Creek,C,17.40683035714286,6/19/2018,6/25/2018
8,GIB15,Gibson Creek,C,18.083392857142858,6/19/2018,6/25/2018
8,MRA1,Mill Race,C,19.61818452380952,6/19/2018,6/25/2018
8,MRA10,Mill Race,C,19.258363095238096,6/19/2018,6/25/2018
8,SHE1,Shelton Ditch,C,18.796041666666667,6/19/2018,6/25/2018
8,SHE10,Shelton Ditch,C,18.901628637410713,6/19/2018,6/25/2018
8,WAL3,Waln Creek,C,16.55653273809524,6/19/2018,6/25/2018
9,CGT1,Claggett Creek,C,21.934955357142858,6/26/2018,7/2/2018
9,CGT5,Claggett Creek,C,16.91184523809524,6/26/2018,7/2/2018
9,CRO1,Croisan Creek,C,16.6771875,6/26/2018,7/2/2018
9,CRO10,Croisan Creek,C,15.995446428571428,6/26/2018,7/2/2018
9,GIB1,Gibson Creek,C,16.420416666666668,6/26/2018,7/2/2018
9,GIB15,Gibson Creek,C,16.88751488095238,6/26/2018,7/2/2018
9,MRA1,Mill Race,C,19.047886904761906,6/26/2018,7/2/2018
9,MRA10,Mill Race,C,18.95061011904762,6/26/2018,7/2/2018
9,SHE1,Shelton Ditch,C,18.630892857142857,6/26/2018,7/2/2018
9,SHE10,Shelton Ditch,C,18.760697751339286,6/26/2018,7/2/2018
9,WAL3,Waln Creek,C,16.03172619047619,6/26/2018,7/2/2018
10,CGT1,Claggett Creek,C,21.51611607142857,7/3/2018,7/9/2018
10,CGT5,Claggett Creek,C,17.03169642857143,7/3/2018,7/9/2018
10,CRO1,Croisan Creek,C,16.845431547619047,7/3/2018,7/9/2018
10,CRO10,Croisan Creek,C,15.818497023809524,7/3/2018,7/9/2018
10,GIB1,Gibson Creek,C,16.48239583333333,7/3/2018,7/9/2018
10,GIB15,Gibson Creek,C,17.001830357142858,7/3/2018,7/9/2018
10,MRA1,Mill Race,C,19.174940476190475,7/3/2018,7/9/2018
10,MRA10,Mill Race,C,18.975357142857142,7/3/2018,7/9/2018
10,SHE1,Shelton Ditch,C,18.71590773809524,7/3/2018,7/9/2018
10,SHE10,Shelton Ditch,C,18.77744708919643,7/3/2018,7/9/2018
10,WAL3,Waln Creek,C,16.38065476190476,7/3/2018,7/9/2018
11,CGT1,Claggett Creek,C,22.79017857142857,7/10/2018,7/16/2018
11,CGT5,Claggett Creek,C,18.92111607142857,7/10/2018,7/16/2018
11,CRO1,Croisan Creek,C,19.485000000000003,7/10/2018,7/16/2018
11,CRO10,Croisan Creek,C,17.515520833333333,7/10/2018,7/16/2018
11,GIB1,Gibson Creek,C,18.258467261904762,7/10/2018,7/16/2018
11,GIB15,Gibson Creek,C,18.656458333333333,7/10/2018,7/16/2018
11,MRA1,Mill Race,C,21.559732142857143,7/10/2018,7/16/2018
11,MRA10,Mill Race,C,21.425148809523808,7/10/2018,7/16/2018
11,SHE1,Shelton Ditch,C,20.876175595238095,7/10/2018,7/16/2018
11,SHE10,Shelton Ditch,C,21.021354166964286,7/10/2018,7/16/2018
11,WAL3,Waln Creek,C,18.505223214285714,7/10/2018,7/16/2018
12,CGT1,Claggett Creek,C,22.857083333333335,7/17/2018,7/23/2018
12,CGT5,Claggett Creek,C,18.152738095238096,7/17/2018,7/23/2018
12,CRO1,Croisan Creek,C,18.799642857142857,7/17/2018,7/23/2018
12,CRO10,Croisan Creek,C,17.32894345238095,7/17/2018,7/23/2018
12,GIB1,Gibson Creek,C,17.581994047619048,7/17/2018,7/23/2018
12,GIB15,Gibson Creek,C,17.65465773809524,7/17/2018,7/23/2018
12,MRA1,Mill Race,C,20.944880952380952,7/17/2018,7/23/2018
12,MRA10,Mill Race,C,20.825550595238095,7/17/2018,7/23/2018
12,SHE1,Shelton Ditch,C,20.33598214285714,7/17/2018,7/23/2018
12,SHE10,Shelton Ditch,C,20.53646660001488,7/17/2018,7/23/2018
12,WAL3,Waln Creek,C,18.19154761904762,7/17/2018,7/23/2018
13,CGT1,Claggett Creek,C,24.123363095238094,7/24/2018,7/30/2018
13,CGT5,Claggett Creek,C,19.442261904761903,7/24/2018,7/30/2018
13,CRO1,Croisan Creek,C,20.366979166666667,7/24/2018,7/30/2018
13,CRO10,Croisan Creek,C,18.546800595238096,7/24/2018,7/30/2018
13,GIB1,Gibson Creek,C,18.703392857142855,7/24/2018,7/30/2018
13,GIB15,Gibson Creek,C,18.81092261904762,7/24/2018,7/30/2018
13,MRA1,Mill Race,C,22.51717261904762,7/24/2018,7/30/2018
13,MRA10,Mill Race,C,22.458526785714284,7/24/2018,7/30/2018
13,SHE1,Shelton Ditch,C,21.921755952380952,7/24/2018,7/30/2018
13,SHE10,Shelton Ditch,C,22.170825066205357,7/24/2018,7/30/2018
13,WAL3,Waln Creek,C,19.648675595238096,7/24/2018,7/30/2018
14,CGT1,Claggett Creek,C,23.416160714285713,7/31/2018,8/6/2018
14,CGT5,Claggett Creek,C,18.61641369047619,7/31/2018,8/6/2018
14,CRO1,Croisan Creek,C,19.303333333333335,7/31/2018,8/6/2018
14,CRO10,Croisan Creek,C,17.89110119047619,7/31/2018,8/6/2018
14,GIB1,Gibson Creek,C,17.78016369047619,7/31/2018,8/6/2018
14,GIB15,Gibson Creek,C,17.777872023809522,7/31/2018,8/6/2018
14,MRA1,Mill Race,C,20.95797619047619,7/31/2018,8/6/2018
14,MRA10,Mill Race,C,20.910625,7/31/2018,8/6/2018
14,SHE1,Shelton Ditch,C,20.559092261904762,7/31/2018,8/6/2018
14,SHE10,Shelton Ditch,C,20.70027281721726,7/31/2018,8/6/2018
14,WAL3,Waln Creek,C,18.573511904761904,7/31/2018,8/6/2018
15,CGT1,Claggett Creek,C,23.441934523809522,8/10/2018,8/9/2018
15,CGT5,Claggett Creek,C,19.38141369047619,8/10/2018,8/9/2018
15,CRO1,Croisan Creek,C,19.994955357142857,8/10/2018,8/9/2018
15,CRO10,Croisan Creek,C,18.61345238095238,8/10/2018,8/9/2018
15,GIB1,Gibson Creek,C,18.3915625,8/10/2018,8/9/2018
15,GIB15,Gibson Creek,C,18.34717261904762,8/10/2018,8/9/2018
15,MRA1,Mill Race,C,21.520610119047618,8/10/2018,8/9/2018
15,MRA10,Mill Race,C,21.435863095238094,8/10/2018,8/9/2018
15,SHE1,Shelton Ditch,C,21.064598214285713,8/10/2018,8/9/2018
15,SHE10,Shelton Ditch,C,21.19353505206845,8/10/2018,8/9/2018
15,WAL3,Waln Creek,C,19.455372023809524,8/10/2018,8/9/2018
16,CGT1,Claggett Creek,C,22.41857142857143,8/14/2018,8/20/2018
16,CGT5,Claggett Creek,C,18.66050595238095,8/14/2018,8/20/2018
16,CRO1,Croisan Creek,C,19.006517857142857,8/14/2018,8/20/2018
16,CRO10,Croisan Creek,C,18.025416666666665,8/14/2018,8/20/2018
16,GIB1,Gibson Creek,C,17.396294642857143,8/14/2018,8/20/2018
16,GIB15,Gibson Creek,C,17.106860119047617,8/14/2018,8/20/2018
16,MRA1,Mill Race,C,20.143511904761905,8/14/2018,8/20/2018
16,MRA10,Mill Race,C,20.03921130952381,8/14/2018,8/20/2018
16,SHE1,Shelton Ditch,C,19.780252976190475,8/14/2018,8/20/2018
16,SHE10,Shelton Ditch,C,19.806712963214288,8/14/2018,8/20/2018
16,WAL3,Waln Creek,C,18.475699404761905,8/14/2018,8/20/2018
17,CGT1,Claggett Creek,C,21.535074404761904,8/21/2018,8/27/2018
17,CGT5,Claggett Creek,C,17.58766369047619,8/21/2018,8/27/2018
17,CRO1,Croisan Creek,C,17.53559523809524,8/21/2018,8/27/2018
17,CRO10,Croisan Creek,C,16.904910714285716,8/21/2018,8/27/2018
17,GIB1,Gibson Creek,C,16.47127976190476,8/21/2018,8/27/2018
17,GIB15,Gibson Creek,C,16.241294642857145,8/21/2018,8/27/2018
17,MRA1,Mill Race,C,18.329419642857143,8/21/2018,8/27/2018
17,MRA10,Mill Race,C,18.25903273809524,8/21/2018,8/27/2018
17,SHE1,Shelton Ditch,C,18.180848214285714,8/21/2018,8/27/2018
17,SHE10,Shelton Ditch,C,18.08927744675595,8/21/2018,8/27/2018
17,WAL3,Waln Creek,C,17.242976190476192,8/21/2018,8/27/2018
18,CGT1,Claggett Creek,C,20.419925595238094,8/28/2018,9/3/2018
18,CGT5,Claggett Creek,C,17.116592261904763,8/28/2018,9/3/2018
18,CRO1,Croisan Creek,C,17.135238095238094,8/28/2018,9/3/2018
18,CRO10,Croisan Creek,C,16.474747023809524,8/28/2018,9/3/2018
18,GIB1,Gibson Creek,C,15.97827380952381,8/28/2018,9/3/2018
