OBJECTID,UnitID,UnitID2,Name,UnitType,Status,PW Grid No,GLOBALID,Flow direction,Shape__Length
97,81353,81355,,CREEK,ACT,60-446,4f53b36d-7506-4eb4-90ae-30cb70eecebd,1,1825.957442
252,81655,81656,,CREEK,ACT,57-446,2c262eb3-7e44-49fa-bbd1-fc0aecce5dac,1,225.6802545
423,14990,15039,,CREEK,ACT,30-474,c138b913-abab-41bc-bfb1-042dd246e82c,1,344.4983883
425,40059,40058,Pettyjohn Creek (Trib. Willamette R.),CREEK,ACT,27-462,82a63cda-3e94-42c6-999b-010b8406a166,1,1300.941873
428,37249,27081,,CREEK,ACT,51-458,9855b9a5-80c4-4672-aa79-f39275d9b91c,1,56.88888257
431,36981,38173,,CREEK,ACT,51-458,806a45de-2346-444b-981d-34367e57e2c3,1,1163.568282
432,27722,41012,,CREEK,ACT,54-460,9700b8a3-a987-4133-a971-f4d0fdffa173,1,129.5702601
433,41013,41015,,CREEK,ACT,54-460,8821e47a-38e0-4a25-80c8-ab9afa4752bb,1,129.152398
434,41014,41016,,CREEK,ACT,54-458,fdc8ceb5-220d-4f01-ba94-6371688d1bce,1,26.2827558
435,41020,41022,,CREEK,ACT,54-460,c12d83b5-e706-43a2-a0d0-698645b740fb,1,557.3927544
436,41019,41021,,CREEK,ACT,54-460,5f0c2227-2420-466a-aba0-ecbfbb849797,1,232.4796589
459,46152,46157,Trib. West Middle Fork Little Pudding River,CREEK,ACT,60-462,ffd7e6eb-3451-4467-be18-96a106b4fa55,1,741.8291324
463,37284,47732,,CREEK,ACT,18-458,bb00ed02-6db8-407b-b8f4-508d0ecb0fe1,1,5565.696597
465,47734,47734,,CREEK,ACT,21-458,a125fdfd-5946-41b5-bc46-676a15fbdb76,1,1716.985413
466,47735,38208,,CREEK,ACT,21-458,f361e404-bd4e-4e19-b210-ffbaea041c5e,1,5.172637476
480,51252,48387,,CREEK,ACT,33-484,b2c7c134-202e-431f-a4f5-4b2904b22ce4,1,146.5774144
546,41979,41980,,CREEK,ACT,54-498,d4f75e92-ec62-4aaf-9ca9-74a4c1aaf810,1,2109.635417
547,33081,42931,,CREEK,ACT,51-450,de23e07f-4697-4ed0-9037-1cc80c85d67b,1,65.91601052
549,4830,4829,,CREEK,ACT,54-482,c6c404d7-8318-4ac9-a6f3-62d8baafd192,1,18.48513667
563,26970,27002,,CREEK,ACT,39-458,c74aec8f-ccd7-4c5e-992d-1ab364ff321e,1,391.7877238
564,41017,41018,,CREEK,ACT,54-458,d2ee7782-c361-4572-84e2-23e0526878bf,1,1868.332319
566,31687,42623,,CREEK,ACT,51-452,6f7f4da3-302f-4f5c-9e2c-890c532275aa,1,1842.086007
567,26483,37905,,CREEK,ACT,51-460,8e1649e8-456e-4a42-b546-86248933991f,1,1318.206909
571,28695,28146,,CREEK,ACT,45-456,71126010-0f15-4105-9e1b-faa24e0b8f81,1,1750.123904
577,4829,4202,,CREEK,ACT,54-482,65a97020-41fc-4ed7-b680-b5feeddae58d,1,1022.506158
578,4202,4197,,CREEK,ACT,54-484,455cda1d-bcd1-4957-a090-71570824db1f,1,7.851676879
582,27004,26964,,CREEK,ACT,39-458,2f670d57-2da1-460d-aee7-1943e96b0603,1,94.53771178
588,12237,11026,Hidden Echo Creek,CREEK,ACT,27-476,110dcfe6-60b4-4756-bc45-29c97c47f451,1,844.7747377
590,27017,26958,,CREEK,ACT,39-458,b91c9947-cf30-4427-b573-70a99c0f7d01,1,201.9520916
594,31344,31334,,CREEK,ACT,45-452,1b54d8bc-60bb-4d75-93b3-ed60ec84c08f,1,16.09381211
595,31334,31307,,CREEK,ACT,45-452,efa99b98-f5c4-44b3-bbd0-48b50fb1d8e0,1,34.32097084
600,34868,34425,,CREEK,ACT,36-448,21701392-41bb-4cb4-97c9-7c4bf167b641,1,805.1775591
620,27979,62777,,CREEK,ACT,51-458,0280d37b-3c50-4c20-980c-2b4696c395d2,1,689.7242301
623,35407,35609,,CREEK,ACT,42-446,44b95e73-e0b5-4191-95e1-8caf23a19a56,1,666.6836413
625,15447,15419,,CREEK,ACT,30-474,6232826c-5b24-4df5-b060-8e38ddede0d6,1,350.5173571
636,41977,41978,,CREEK,ACT,54-498,4bc6131c-5273-4243-a51e-06a67edd89c0,1,855.9244715
665,123892,,,CREEK,ACT,48-452,1a4a2fd9-49fb-433f-af69-c90624048c7d,1,6.713792307
718,33683,89670,,CREEK,ACT,30-452,ac57360a-feb2-4844-b85e-c660ba15446c,1,713.7800383
719,89670,89671,,CREEK,ACT,30-452,f600ae67-56ad-48fa-b6f9-74d422675aea,1,283.9014848
737,37105,36809,,CREEK,ACT,48-452,67cf29ca-6f91-46b2-9921-0a9074415d2a,1,108.1343139
745,37830,36950,,CREEK,ACT,48-484,a896709a-45fa-46a9-b81e-d2d2bce57972,1,132.0867892
746,37874,36904,,CREEK,ACT,48-484,cca7c003-af0f-4f62-975a-f3f1f695912b,1,95.51428466
747,37828,36903,,CREEK,ACT,48-484,55e8d5bb-41ea-438f-ba92-16e78ff0365c,1,53.71297619
761,94770,97106,,CREEK,ACT,60-462,127e4bc3-7e22-4b82-8536-d78a2cf27b56,1,1001.400559
762,33829,33687,,CREEK,ACT,33-450,6a9857a4-b5c3-4d3d-a296-664e495867ad,1,378.2191699
768,34163,33961,,CREEK,ACT,33-450,73e9aef5-53af-4d34-b3ec-1a4241fde22a,1,288.7429183
778,38037,76308,,CREEK,ACT,48-486,aba45f3c-e8f9-4c25-8a29-9f2ada68d2e2,1,306.0276914
779,37827,37113,,CREEK,ACT,48-484,cedf714e-0ea2-4640-adc4-e55aef057cdf,1,258.7120483
786,37924,23261,,CREEK,ACT,60-462,e9d39ed2-0b25-4fbe-8013-4394fbc8f116,1,363.6903853
788,37892,62772,,CREEK,ACT,51-454,f97bfb6f-4e25-45e1-8179-66761522f820,1,579.4399216
1046,22794,22750,,CREEK,ACT,60-464,b8914b26-aa4f-42a9-a326-74ef111d7311,1,473.713515
1057,24060,38138,,CREEK,ACT,60-462,506cfcac-e51a-4d4d-9232-e9df5b9c9dcc,1,33.56415103
1058,37214,94770,,CREEK,ACT,60-462,9ab02993-4afe-4ffa-a875-b429495bb66d,1,204.5394171
1252,29538,36968,,CREEK,ACT,51-454,4ceac6b5-ba7d-4a7b-85f9-9e04b7d8817b,1,155.0532695
1253,30496,29538,,CREEK,ACT,51-454,faec148c-c35a-42c9-9909-f75740082a41,1,1920.307379
1256,31307,30717,,CREEK,ACT,45-452,3bd05e9c-dd6c-4a11-9238-1cc678054134,1,570.680956
1263,8633,7573,,CREEK,ACT,54-478,21e573b5-0662-4916-ae4a-934c86ba368e,1,1078.715637
1264,33503,33795,,CREEK,ACT,42-450,6f36f456-6d72-43af-852f-e41ab29d1033,1,468.3271099
1266,557,659,,CREEK,ACT,51-492,344ad9ea-62e8-42ae-9df8-0ff180b70a4a,1,115.9751881
1267,7329,7082,,CREEK,REM,57-480,5401c9f2-c820-4cf8-9e11-810df4e5eb97,1,254.7617051
1277,27221,27070,Clark Creek,CREEK,ACT,36-458,8c6410cd-6866-4d74-b5a6-1a37d2504722,1,187.712712
1282,37264,120050,,CREEK,ACT,51-494,04d3ff41-6dce-4d6c-bbfa-bb48d79fb1a7,1,484.565776
1285,123900,38029,,CREEK,ACT,48-452,e74cbb53-2da8-460c-a7cf-cc218e2419ea,1,87.91880488
1286,123894,123899,,CREEK,ACT,48-452,c1350cdb-ca61-45b9-ac28-1d262f297ca2,1,35.56111053
1287,123584,123893,,CREEK,ACT,48-452,d3df1a25-75ef-4c69-ba64-42aaf735cd88,1,53.23872578
1288,123577,123579,,CREEK,ACT,48-452,f9008076-378d-41c3-bddb-b8e54cd84e8a,1,95.99317108
1289,123579,123580,,CREEK,ACT,48-452,7c55c9e7-97df-49e7-a1f0-ea7cf29e95aa,1,9.691348359
1290,123583,123584,,CREEK,ACT,48-452,6e7bac58-fda1-4cb9-814f-ff5bd8dc8342,1,9.629305004
1291,123582,123584,,CREEK,ACT,48-452,86b37667-35d4-4233-9f5d-502003dd3f2f,1,9.274026378
1292,123893,123585,,CREEK,ACT,48-452,4410a5b8-2c5f-4198-8943-2b75b1618d37,1,7.265502706
1293,123891,123894,,CREEK,ACT,48-452,e3bc510a-690d-41e8-b926-5eaea5bc1ee6,1,7.09256058
1294,123899,123895,,CREEK,ACT,48-452,b11f164b-6218-43bd-aa90-d41b73d9aaa3,1,12.91942672
1295,123897,123900,,CREEK,ACT,48-452,a8a65381-ab47-4e86-8096-e41282081b1e,1,8.623537496
